Year_Birth,Income,Purchases,Is_Alone,Children,Is_Parent,Offers
1957,58138.0,1617,True,0,False,0
1954,46344.0,27,True,2,True,0
1965,71613.0,776,False,0,False,0
1984,26646.0,53,False,1,True,0
1981,58293.0,422,False,1,True,0
1967,62513.0,716,False,1,True,0
1971,55635.0,590,True,1,True,0
1985,33454.0,169,False,1,True,0
1974,30351.0,46,False,1,True,0
1950,5648.0,49,False,2,True,1
1983,51381.5,19,False,1,True,0
1976,7500.0,61,False,0,False,0
1959,63033.0,1102,True,0,False,0
1952,59354.0,310,True,2,True,0
1987,17323.0,46,False,0,False,0
1946,82800.0,1315,True,0,False,2
1980,41850.0,96,False,2,True,0
1946,37760.0,317,False,0,False,0
1949,76995.0,1782,False,1,True,1
1985,33812.0,133,True,1,True,0
1982,37040.0,316,False,0,False,0
1949,58607.0,972,False,1,True,1
1954,65324.0,544,False,1,True,0
1951,40689.0,444,False,1,True,0
1969,18589.0,75,True,0,False,0
1976,53359.0,257,False,2,True,0
1989,38360.0,131,False,1,True,0
1965,84618.0,1672,False,0,False,1
1989,10979.0,30,True,0,False,0
1963,38620.0,318,False,0,False,0
1970,40548.0,120,False,1,True,1
1952,46610.0,302,True,2,True,0
1946,68657.0,1196,False,0,False,0
1951,49389.0,65,True,2,True,0
1970,67353.0,913,False,1,True,0
1976,23718.0,81,False,1,True,0
1973,42429.0,67,True,1,True,0
1943,48948.0,902,True,0,False,1
1980,80011.0,1395,False,1,True,0
1985,20559.0,53,False,1,True,0
1957,21994.0,22,False,1,True,0
1959,51381.5,186,True,0,False,0
1975,7500.0,31,False,1,True,0
1976,79941.0,984,True,0,False,0
1996,7500.0,122,False,0,False,0
1968,41728.0,55,False,1,True,0
1951,51381.5,124,True,3,True,0
1954,72550.0,1319,False,2,True,0
1957,65486.0,507,True,1,True,0
1964,79143.0,1693,False,0,False,0
1977,35790.0,72,True,1,True,0
1977,82582.0,1617,True,0,False,2
1978,66373.0,606,False,2,True,0
1955,82384.0,1957,False,0,False,1
1966,70287.0,1093,True,0,False,0
1988,27938.0,29,True,1,True,0
1982,51381.5,46,True,1,True,0
1968,55954.0,518,False,1,True,0
1982,75777.0,1438,True,0,False,2
1975,66653.0,612,False,2,True,0
1952,61823.0,884,True,1,True,0
1951,67680.0,606,True,1,True,0
1948,70666.0,1076,False,0,False,0
1971,25721.0,34,False,1,True,0
1967,32474.0,11,False,2,True,0
1979,88194.0,1274,True,1,True,2
1958,69096.0,653,False,1,True,0
1970,74854.0,1562,False,3,True,0
1954,66991.0,1253,False,0,False,0
1973,51381.5,109,False,1,True,0
1959,65031.0,863,False,1,True,0
1975,60631.0,661,False,2,True,1
1952,28332.0,65,False,0,False,0
1977,40246.0,13,True,1,True,0
1972,75251.0,1890,False,0,False,0
1976,75825.0,2209,True,0,False,1
1976,26326.0,18,False,0,False,0
1965,56046.0,692,False,0,False,1
1985,29760.0,165,True,1,True,0
1969,26304.0,16,False,1,True,0
1973,23559.0,79,False,1,True,0
1963,38620.0,318,False,0,False,0
1987,81361.0,778,True,0,False,0
1960,29440.0,56,False,2,True,0
1970,36138.0,151,False,2,True,1
1957,50388.0,372,True,1,True,2
1973,79593.0,1366,False,0,False,1
1967,54178.0,194,False,1,True,0
1957,51381.5,603,False,3,True,0
1957,51381.5,18,True,2,True,0
1973,51381.5,985,False,0,False,0
1972,42394.0,32,True,1,True,0
1970,23626.0,43,False,1,True,0
1983,30096.0,45,False,1,True,0
1960,47916.0,606,True,1,True,1
1972,51813.0,63,True,2,True,0
1951,78497.0,978,False,0,False,1
1983,50150.0,410,False,0,False,0
1960,47823.0,72,True,1,True,0
1959,34554.0,55,True,1,True,0
1979,85693.0,1169,False,1,True,0
1945,65846.0,1120,False,0,False,0
1959,87195.0,1097,False,0,False,0
1979,24594.0,29,False,1,True,0
1964,49096.0,187,False,2,True,0
